Team,ban_1,ban_2,ban_3
blueBans,Irelia,Maokai,Nidalee
blueBans,Rumble,Kassadin,Lissandra
blueBans,Kassadin,Sivir,Lissandra
blueBans,JarvanIV,Lissandra,Kassadin
blueBans,Annie,Lissandra,Kassadin
blueBans,Irelia,Pantheon,Kassadin
blueBans,LeeSin,Rumble,Janna
blueBans,Zed,Sivir,Annie
blueBans,Lissandra,Janna,Kassadin
blueBans,JarvanIV,Gnar,Sivir
blueBans,Rumble,Janna,Kassadin
blueBans,Irelia,Annie,Sivir
blueBans,Janna,Rumble,
blueBans,Azir,Lulu,Cassiopeia
blueBans,Azir,Kassadin,Lissandra
blueBans,Kassadin,Sivir,Lissandra
blueBans,Annie,Kassadin,Kalista
blueBans,Kalista,Lissandra,Annie
blueBans,Cassiopeia,Annie,Sivir
blueBans,Irelia,Jax,Sivir
blueBans,Zed,Azir,Kassadin
blueBans,Leblanc,Xerath,Azir
blueBans,Nidalee,Leblanc,Ahri
blueBans,Rumble,Kassadin,Annie
blueBans,Irelia,Ahri,Gnar
blueBans,Kalista,Annie,Blitzcrank
blueBans,Ahri,Irelia,Gnar
blueBans,Kassadin,JarvanIV,Morgana
blueBans,Thresh,Irelia,Gnar
blueBans,Zed,Janna,Maokai
blueBans,Rumble,Leblanc,Sivir
blueBans,Vi,Lissandra,Ahri
blueBans,LeeSin,Nidalee,Kalista
blueBans,Lissandra,Rumble,Morgana
blueBans,Annie,Janna,Lissandra
blueBans,Ahri,Leblanc,Nidalee
blueBans,Kalista,Nidalee,Rumble
blueBans,Irelia,Kassadin,Kalista
blueBans,Xerath,Leblanc,Maokai
blueBans,Nidalee,Ahri,Leblanc
blueBans,Irelia,Nidalee,Lissandra
blueBans,Kalista,Zed,Ahri
blueBans,Vi,Zed,JarvanIV
blueBans,Morgana,Kassadin,Kennen
blueBans,Kalista,Nidalee,Lissandra
blueBans,Irelia,Morgana,JarvanIV
blueBans,Morgana,Nidalee,Cassiopeia
blueBans,Kalista,Maokai,Zed
blueBans,Rumble,Morgana,Annie
blueBans,Nidalee,Morgana,Rumble
blueBans,Maokai,JarvanIV,Kassadin
blueBans,Kassadin,Rumble,Veigar
blueBans,Morgana,Rumble,Lulu
blueBans,Thresh,Zed,Maokai
blueBans,Kassadin,Rumble,Thresh
blueBans,Zed,Annie,Sion
blueBans,Irelia,JarvanIV,Morgana
blueBans,Annie,RekSai,Hecarim
blueBans,Veigar,Maokai,Janna
blueBans,Kennen,Annie,Irelia
blueBans,Rumble,Kassadin,JarvanIV
blueBans,Nidalee,JarvanIV,Morgana
blueBans,Kalista,Rumble,Kennen
blueBans,Janna,Rumble,Morgana
blueBans,Nidalee,Maokai,Morgana
blueBans,Irelia,Maokai,Nidalee
blueBans,Sivir,Lulu,Rumble
blueBans,Irelia,Leblanc,Morgana
blueBans,LeeSin,Rumble,Nidalee
blueBans,Kennen,Zed,Lissandra
blueBans,Morgana,Leblanc,Maokai
blueBans,LeeSin,Sejuani,Karthus
blueBans,Rumble,Zed,Nidalee
blueBans,Morgana,Hecarim,Sejuani
blueBans,Sivir,Annie,Zed
blueBans,Leblanc,Nidalee,Irelia
blueBans,Maokai,Nidalee,Nunu
blueBans,Hecarim,Morgana,Sion
blueBans,Zed,Nidalee,Lissandra
blueBans,Maokai,Sejuani,RekSai
blueBans,Kennen,RekSai,Sejuani
blueBans,Nidalee,Lissandra,Maokai
blueBans,Kalista,Sion,Ahri
blueBans,Nunu,Hecarim,Sejuani
blueBans,Zed,Annie,Leblanc
blueBans,Hecarim,Sejuani,Vi
blueBans,Rengar,Irelia,Sejuani
blueBans,Lulu,Nidalee,Zed
blueBans,Nidalee,RekSai,Lulu
blueBans,Nidalee,Orianna,Leblanc
blueBans,Karthus,Nidalee,LeeSin
blueBans,Annie,Vladimir,Maokai
blueBans,Lulu,Corki,Sejuani
blueBans,Leblanc,Kalista,Hecarim
blueBans,,,
blueBans,Thresh,RekSai,JarvanIV
blueBans,Rumble,Kassadin,Kalista
blueBans,Irelia,Leblanc,Kalista
blueBans,Leblanc,Hecarim,Urgot
blueBans,Leblanc,Gragas,Rumble
blueBans,Maokai,Bard,Gragas
blueBans,Irelia,KogMaw,RekSai
blueBans,,,
blueBans,Leblanc,Sejuani,Alistar
blueBans,Hecarim,Alistar,Fizz
blueBans,Fizz,Yasuo,Alistar
blueBans,Bard,Ryze,Alistar
blueBans,Evelynn,Nidalee,Thresh
blueBans,Alistar,Fizz,Yasuo
