Team;Victim;Killer;Assist_1;Assist_2;Assist_3
bKills;C9 Hai;TSM Bjergsen;;;
bKills;C9 LemonNation;TSM WildTurtle;TSM Santorin;TSM Bjergsen;TSM Lustboy
bKills;C9 Hai;TSM Bjergsen;TSM Santorin;TSM WildTurtle;TSM Lustboy
bKills;C9 Meteos;TSM Dyrus;TSM Santorin;TSM Bjergsen;TSM WildTurtle
bKills;C9 Balls;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 LemonNation;TSM Dyrus;TSM Bjergsen;TSM WildTurtle;TSM Lustboy
bKills;C9 Hai;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;C9 LemonNation;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 Balls;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 Balls;TSM WildTurtle;TSM Santorin;TSM Bjergsen;TSM Lustboy
bKills;C9 Hai;TSM Santorin;TSM Bjergsen;TSM WildTurtle;TSM Lustboy
bKills;C9 Balls;TSM Bjergsen;TSM Santorin;TSM WildTurtle;TSM Lustboy
bKills;C9 LemonNation;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 Meteos;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 LemonNation;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;C9 Sneaky;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;DIG Shiphtur;CST Jesiz;CST Impaler;;
bKills;DIG Crumbzz;CST Cris;CST Sheep;;
bKills;DIG CoreJJ;CST Cris;CST Impaler;CST Mash;
bKills;DIG Gamsu;CST Cris;CST Impaler;CST Mash;CST Sheep
bKills;DIG Crumbzz;CST Mash;CST Sheep;;
bKills;DIG KiWiKiD;CST Jesiz;CST Cris;CST Impaler;CST Mash
bKills;DIG CoreJJ;CST Mash;CST Cris;CST Impaler;CST Jesiz
bKills;DIG Crumbzz;CST Jesiz;CST Impaler;CST Mash;CST Sheep
bKills;DIG CoreJJ;CST Impaler;CST Cris;CST Mash;
bKills;DIG KiWiKiD;CST Jesiz;CST Impaler;CST Sheep;
bKills;GV Keane;WFX Pobelter;WFX ShorterACE;WFX Gleeb;
bKills;GV Cop;WFX ShorterACE;WFX Flaresz;;
bKills;GV Keane;WFX Altec;WFX ShorterACE;WFX Pobelter;WFX Gleeb
bKills;GV Keane;WFX Pobelter;WFX ShorterACE;;
bKills;GV BunnyFuFuu;WFX Flaresz;WFX Altec;WFX Gleeb;
bKills;GV Hauntzer;WFX Pobelter;WFX Flaresz;WFX Altec;WFX Gleeb
bKills;GV Saintvicious;WFX Gleeb;WFX Flaresz;WFX Pobelter;WFX Altec
bKills;GV Saintvicious;WFX Pobelter;WFX ShorterACE;WFX Altec;WFX Gleeb
bKills;GV Saintvicious;WFX Altec;WFX ShorterACE;WFX Gleeb;
bKills;GV BunnyFuFuu;WFX Gleeb;WFX Flaresz;WFX ShorterACE;WFX Altec
