"League","Year","blueTeamTag","bResult","rResult","redTeamTag","id_mathinfo"
"NALCS","2015","TSM","1","0","C9","1"
"NALCS","2015","CST","0","1","DIG","2"
"NALCS","2015","WFX","1","0","GV","3"
"NALCS","2015","TIP","0","1","TL","4"
"NALCS","2015","CLG","1","0","T8","5"
"NALCS","2015","DIG","0","1","TIP","6"
"NALCS","2015","CST","1","0","WFX","7"
"NALCS","2015","TL","1","0","CLG","8"
"NALCS","2015","C9","0","1","GV","9"
"NALCS","2015","T8","1","0","TSM","10"
"NALCS","2015","GV","1","0","DIG","11"
"NALCS","2015","T8","1","0","CST","12"
"NALCS","2015","C9","1","0","TL","13"
"NALCS","2015","TIP","0","1","CLG","14"
"NALCS","2015","TSM","1","0","WFX","15"
"NALCS","2015","CLG","1","0","C9","16"
"NALCS","2015","DIG","0","1","WFX","17"
"NALCS","2015","TSM","1","0","TL","18"
"NALCS","2015","TIP","1","0","T8","19"
"NALCS","2015","CST","0","1","GV","20"
"NALCS","2015","GV","0","1","TIP","21"
"NALCS","2015","C9","1","0","T8","22"
"NALCS","2015","DIG","0","1","TSM","23"
"NALCS","2015","TL","1","0","CST","24"
"NALCS","2015","WFX","0","1","CLG","25"
"NALCS","2015","C9","1","0","CST","26"
"NALCS","2015","CLG","1","0","GV","27"
"NALCS","2015","TL","0","1","DIG","28"
"NALCS","2015","T8","1","0","WFX","29"
"NALCS","2015","TSM","1","0","TIP","30"
"NALCS","2015","CST","0","1","CLG","31"
"NALCS","2015","WFX","1","0","TIP","32"
"NALCS","2015","DIG","0","1","C9","33"
"NALCS","2015","T8","0","1","TL","34"
"NALCS","2015","GV","0","1","TSM","35"
"NALCS","2015","WFX","1","0","C9","36"
"NALCS","2015","TIP","1","0","CST","37"
"NALCS","2015","CLG","0","1","TSM","38"
"NALCS","2015","GV","1","0","TL","39"
"NALCS","2015","DIG","1","0","T8","40"
"NALCS","2015","TL","0","1","WFX","41"
"NALCS","2015","T8","0","1","GV","42"
"NALCS","2015","C9","1","0","TIP","43"
"NALCS","2015","DIG","0","1","CLG","44"
"NALCS","2015","TSM","1","0","CST","45"
"NALCS","2015","C9","1","0","CLG","46"
"NALCS","2015","TL","1","0","TSM","47"
"NALCS","2015","WFX","0","1","DIG","48"
"NALCS","2015","CST","0","1","T8","49"
"NALCS","2015","TIP","1","0","GV","50"
"NALCS","2015","CST","0","1","C9","51"
"NALCS","2015","T8","1","0","TIP","52"
"NALCS","2015","TL","1","0","GV","53"
"NALCS","2015","TSM","1","0","DIG","54"
"NALCS","2015","CLG","1","0","WFX","55"
"NALCS","2015","GV","1","0","CST","56"
"NALCS","2015","C9","1","0","WFX","57"
"NALCS","2015","TIP","1","0","TSM","58"
"NALCS","2015","CLG","0","1","TL","59"
"NALCS","2015","T8","1","0","DIG","60"
"NALCS","2015","DIG","1","0","CST","61"
"NALCS","2015","GV","0","1","CLG","62"
"NALCS","2015","WFX","0","1","TSM","63"
"NALCS","2015","TIP","1","0","C9","64"
"NALCS","2015","TL","0","1","T8","65"
"NALCS","2015","C9","1","0","DIG","66"
"NALCS","2015","TSM","1","0","T8","67"
"NALCS","2015","TL","0","1","TIP","68"
"NALCS","2015","GV","1","0","WFX","69"
"NALCS","2015","CLG","1","0","CST","70"
"NALCS","2015","CST","0","1","TIP","71"
"NALCS","2015","TL","0","1","C9","72"
"NALCS","2015","TSM","0","1","GV","73"
"NALCS","2015","CLG","1","0","DIG","74"
"NALCS","2015","WFX","0","1","T8","75"
"NALCS","2015","DIG","0","1","GV","76"
"NALCS","2015","TSM","1","0","CLG","77"
